UniqueID	P0.5 A	P0.5 B	P0.5 C	P1 d	P1 h	P1 i 	P1.5 c	P1.5 d	P1.5 g	P2.5 c	P2.5 g	P2.5 j	P4 a	P4 b	P4 f	P5 a	P5 b	P5 f	P7 a	P7 b	P7 c	P10 d	P10 e	P10 f	P13.5 a	P13.5 b	P13.5 c	P15 a	P15 b	P15 c	P19 c	P19 e	P19 f	P23 d	P23 e	P23 f 	P28c	P28d	P28e
Q9CPW4	2.32	2.49	1.25	2.01	0.0	1.15	0.99	1.76	1.88	1.99	2.19	3.14	1.64	4.6	5.03	5.67	4.12	1.64	3.8	4.13	0.99	4.43	0.0	0.91	1.95	0.0	0.92	0.0	2.71	1.74	1.83	1.87	0.93	0.0	1.5	3.74	0.0	2.42	1.09
Q9Z130	0.0	0.0	11.27	10.04	8.42	6.88	9.86	16.69	0.0	0.0	10.97	11.51	13.14	6.91	10.06	0.0	14.42	13.15	15.21	12.4	13.83	12.39	8.48	8.18	13.64	15.37	17.55	16.41	14.45	0.0	0.0	12.17	16.68	12.93	12.78	18.68	12.47	14.49	19.56
Q8R2Y2	6.97	2.49	3.76	3.01	0.0	0.0	5.92	7.91	5.64	5.96	2.19	4.19	1.64	6.91	5.03	6.61	5.15	8.22	8.55	19.02	13.83	12.39	10.17	5.45	15.59	18.08	11.09	12.31	10.84	1.74	6.39	5.62	9.27	9.48	6.01	8.41	3.12	1.21	0.0
Q9D0E1	23.23	37.36	16.28	14.06	21.66	33.26	0.99	9.66	12.23	8.93	2.19	27.2	5.75	16.88	9.22	13.23	5.15	13.97	5.7	6.62	4.94	2.66	11.02	10.0	13.64	8.13	21.25	5.13	5.42	0.0	1.83	5.62	9.27	0.86	18.79	0.93	2.34	0.0	0.0
P47962	22.07	29.89	18.78	12.05	20.45	11.47	8.88	28.99	17.87	23.82	6.58	19.88	16.42	10.74	16.76	20.79	18.53	10.68	19.01	20.67	21.73	18.59	22.04	19.09	33.13	27.12	24.95	24.61	18.06	13.92	27.39	13.11	16.68	16.37	19.54	10.27	20.27	10.87	17.38
P47963	3.48	1.25	0.0	0.0	3.61	3.44	2.96	1.76	0.0	2.98	3.29	4.19	0.0	0.77	0.0	1.89	3.09	0.0	3.8	5.79	1.98	7.97	3.39	3.64	2.92	2.71	7.39	4.1	5.42	0.0	1.83	0.0	2.78	1.72	1.5	0.0	3.12	0.0	2.17
Q9D7P7	0.0	0.0	0.0	4.02	2.41	3.44	0.99	4.39	1.88	2.98	0.0	0.0	5.75	5.37	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	1.7	0.0	1.95	4.52	3.7	0.0	7.22	0.0	0.0	12.17	2.78	0.86	6.76	2.8	8.57	1.21	0.0
P68254	8.13	7.47	8.77	14.06	14.44	10.32	12.82	4.39	8.46	9.93	2.19	8.37	5.75	4.6	6.71	8.5	14.42	10.68	17.11	6.62	4.94	9.74	8.48	6.36	16.56	8.13	2.77	10.26	6.32	15.67	2.74	6.55	12.05	8.62	9.02	15.88	4.68	9.66	11.95
Q03173	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	2.3	0.84	0.0	0.0	1.64	3.8	1.65	0.99	0.89	0.0	0.0	1.95	0.0	0.0	0.0	0.9	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9EQP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	1.95	0.0	0.0	1.03	0.0	0.0	0.0	0.94	0.93	5.17	0.75	0.93	1.56	0.0	0.0
Q9D8E6	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.94	4.12	1.64	0.0	0.0	1.98	1.77	0.85	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8CDN6	2.32	0.0	1.25	1.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	1.05	3.28	1.53	6.71	0.94	0.0	1.64	1.9	0.83	0.0	0.89	0.85	0.0	0.97	1.81	0.92	0.0	0.9	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P42669	0.0	0.0	0.0	0.0	0.0	0.0	2.96	6.15	0.94	0.99	0.0	0.0	6.57	5.37	6.71	3.78	1.03	4.93	0.95	5.79	2.96	7.97	5.09	6.36	6.82	6.33	7.39	5.13	6.32	3.48	7.3	4.68	4.63	3.45	5.26	7.47	2.34	0.0	1.09
Q3UWL8	9.29	9.96	10.02	7.03	8.42	6.88	3.94	5.27	7.52	4.96	4.39	4.19	6.57	3.84	5.87	7.56	8.24	0.82	6.65	6.62	2.96	7.08	2.54	6.36	6.82	5.42	7.39	4.1	5.42	0.0	2.74	5.62	5.56	7.76	3.01	3.74	7.8	1.21	1.09
