Gene	E16.5-031	E16.5-032	E16.5-023	E16.5-024	E16.5-095	E16.5-096	E16.5-047	P0.5-a8	P0.5-a9	P0.5b-4.210	P0.54.311	P1-a12	P1-a13	P1b-6.314	p1b-6.215	P1.5-a16	P1.5-a17	P1.5-a18	P1.5-a19	P2-a20	P2-a21	p2-b22	P2b-5.123	P2b-6.124	P2.5-a25	P2.5-b26	p2.5b-427	P2.5b-528	P3-a29	P3-a30	P3-b31	P3b-5.732	P3b-533	P3.5-a34	P3.5-b35	P3.5b-5.936	P3.5b-5.437	P4-a38	P4-a39	P4b-6.340	P4b-7.341	P4.5-a42	P4.5-b43	P4.5b-6.344	P4.5b-5.545	P5-a46	P5-b47	P5b-2.748	P5b-2.849	P5.5-a50	P5.5-a51	p5.5b-7.952	P5.5b-9.153	P6-a54	P6b-7.255	P6b-8.756	P6c-6.557	P6.5-a58	P6.5-a59	P6.5b-6.360	p6.5b-4.461	P7-c62	P7-c63	P7-a64	P7b-7.765	P7b-8.366	P7.5b-8.767	P7.5b-968	P8-a69	P8-a70	P8b-6.371	P8b-72	P8.5-a73	P8.5-b74	P8.5b-9.175	P8.5b-9.376	P9-a77	P9-a78	P9b-10.379	P9b-1080	P9.5-a81	P9.5-a82	P9.5b-8.283	P9.5b-1084	P10-a85	P10-a86	P10b-6.787	P10b-6.688	P10.5-a89	P10.5c-10.590	P10.5b10.191	P10.5b-6.892	P11-a93	P11-a94	P11b-6.495	P11b-9.296	P11.5-a97	P11.5-a98	P11.5b-6.199	P11.5b-5.5100	P12-a101	P12-a102	P12b-6103	P12b-5.2104	P12.5-a105	P12.5-a106	P12.5b-11.3107	P12.5b-10.8108	P13-b109	P13-b110	P13c-6.1111	P13b-8112	P13.5-b113	P13.5b-6.5114	P13.5b-5115	P14-a116	P14-a117	P14b-5118	P14b-5119	P15-a120	P15-a121	P15c-11.8122	P15b-6.1123	P16-a124	P16-a125	P16c-11.2126	P16b-7127	P17-a128	P17-a129	P17b-9.7130	P17b-12131	P18-a132	P18-a133	P18b-8.6134	P18b-10.2135	P19-a136	P19-a137	p19c-8138	P19b-5.3139	P20-a140	P20c-9.2141	P20c-9.2142	P21-a143	P21b-7.1144	P21b-4145	P21c-10146	P22-a147	P22-a148	P22b-5.2149	p22b-6.1150	P23-a151	P23-a152	P23b-5153	P23b-3.5154	P24-a155	P24-a156	P24b-12.4157	P24c-8158	P25-a159	P25-a160	P25b-11161	P25b-11.1162	P26-a163	P26-a164	P26b-8.2165	P26b-7.6166	P27-a167	P27-a168	p27b-7.6169	P27b-8.1170	P28b-8.3171	P28c-8.4172	P28c-9.2173	p28b-7.3174
CTPS2	121.57	146.52	161.77	145.59	156.13	152.78	129.8	77.78	106.81	233.61	198.28	44.53	41.51	76.66	138.92	62.71	46.69	62.71	46.69	50.34	73.69	48.64	130.38	128.28	33.06	43.28	195.7	124.88	108.33	33.13	70.09	140.41	127.44	62.61	49.47	112.24	141.96	47.35	47.09	155.23	151.86	46.48	49.84	102.01	123.42	63.56	75.25	136.16	140.01	50.18	49.35	180.01	128.87	35.6	121.57	129.57	112.08	30.01	36.54	127.23	103.65	66.25	67.12	38.56	100.92	81.61	126.87	170.28	63.15	36.57	100.91	165.03	62.73	45.22	198.6	112.18	54.26	31.63	112.43	109.17	55.85	60.65	119.6	630.51	71.05	45.79	240.19	182.43	34.74	140.15	100.93	163.66	46.75	56.86	91.28	115.16	46.54	58.52	133.85	130.63	43.9	43.59	141.95	119.42	57.82	57.54	122.59	139.53	41.22	60.95	104.63	102.29	37.05	111.6	132.34	53.12	79.03	133.59	123.3	61.72	50.58	126	112.61	62.72	120.68	142.58	127.04	43.76	77.36	100.89	111.52	45.16	41.76	115.74	105.54	50.95	60.53	105.63	117.55	51.35	103.92	173.49	52.88	112.04	92.65	136.65	51.19	60.94	119.11	203.15	52.76	75.09	115.4	97.59	55.63	48.68	117.94	115.46	49.67	40.14	112.7	121.23	41.79	42.47	122.37	99.54	49.44	37.49	101.48	96.39	115.32	125.07	127.84	96.81
DLK1	481.09	407.7	665.74	708.43	887.41	1095.95	989.34	712.59	1098.59	917.74	1772.14	2313.02	1085.12	1717.29	1364.44	867.89	938.19	867.89	938.19	178.33	185.97	151.65	502.71	393.39	72.74	132.98	183.84	234.47	197.54	231.92	108.64	229.46	121.9	165.07	165.26	270.1	241.34	256.22	285.87	187.67	270.31	182.59	110.89	153.02	137.89	111.23	178.71	392.45	222.75	296.9	378.31	140.49	165.12	62.91	184.19	142.91	103.5	77.68	52.78	78.84	122.5	61.52	37.75	71.97	100.92	117.62	61.39	42.57	71.04	60.25	94.61	63.76	50.86	29.07	148.95	42.55	27.13	11.86	51.1	23.33	24.82	56.86	46.8	630.51	10.93	28.62	21.84	36.49	11.58	15.99	50.47	163.66	28.05	16.24	13.04	11.52	21.72	10.18	31.23	10.89	7.5	7.62	4.77	3.89	4.63	19.18	5.65	5.13	30.92	12.83	3.41	3.77	7.3	2.54	44.11	13.28	9.88	4.57	3.91	12.6	13.91	3.05	5.77	34.21	8.62	4.26	8.8	6.04	16.58	1	4.71	12.04	3.65	3.1	1.47	25.47	9.46	9.19	1.55	6.04	8.75	41.31	8.68	4.1	9.93	3.56	9.14	17.81	205	6.16	21.1	9.73	3.39	6.97	7.35	8.25	5.9	5.45	4.38	5.06	2.79	1.8	12.02	10.62	7.65	3.32	6.77	2.26	1.66	2.27	10.73	3.64	4.73	3.59
Dnmt3a	89.27	90.24	118.67	97.47	132.06	132.53	134.04	70.26	71.21	100.12	198.28	46.97	41.51	61.33	69.46	75.45	57.8	75.45	57.8	43.86	49.12	31.48	109.07	85.52	46.29	58.34	140.85	122.33	76.47	16.57	42.06	130.14	88.65	56.92	42.3	101.44	127.77	45.77	51.33	67.19	112.38	46.48	49.84	122.88	120.86	37.08	34.49	88.1	99.71	66.91	46.6	140.49	92.63	43.89	62.63	123.85	98.93	40.61	48.72	94.97	108.36	94.64	25.17	53.98	60.55	98.41	122.78	127.71	43.41	49.15	157.68	180.04	61.03	48.45	49.65	125.72	60.16	86.98	204.42	146.03	43.44	34.11	109.2	630.51	54.66	80.13	174.68	91.21	69.47	161.46	151.4	163.66	65.45	56.86	189.09	190.02	62.05	67.42	98.16	206.84	44.45	49.56	79.92	119.42	53.19	71.93	121.78	131.83	51.53	60.95	113.73	125.98	57.82	109.06	88.23	42.06	52.68	140.44	90.03	56.68	72.07	77.23	98.17	51.32	86.2	95.76	108.17	49.8	66.31	104.77	82.46	32.52	49.07	79.57	87.95	32.75	34.05	97.59	74.24	44.1	63.44	74.35	37.09	64.22	86.03	66.54	31.99	36.57	92.37	18.47	42.21	22.25	30.55	45.31	39.88	36.3	62.25	52.28	21.43	30.74	76.38	59.27	21.18	23.51	50.26	42.3	26.54	17.16	52.4	57.83	46.93	63.99	68.18	28.68
E2F8	56.73	36.91	48.7	41.75	42.74	74.97	56.21	5.02	5.09	50.06	49.57	2.75	5.93	46	24.81	1.38	2.22	1.38	2.22	1	3.51	2.86	11.28	34.21	3.31	1.88	16.31	17.84	6.37	8.28	3.5	30.82	44.33	5.69	7.53	24.01	28.39	6.84	4.91	32.44	39.48	3.32	1.25	25.5	29.79	5.3	3.14	64.07	36.06	2.09	8.22	26.34	28.19	3.9	33.15	40.01	28.59	1.77	4.06	34.05	18.85	4.73	8.39	2.57	33.64	21.6	40.93	42.57	3.95	7.55	12.61	15	3.39	1.62	49.65	23.21	4.72	3.95	20.44	27.99	6.21	3.79	31.2	630.51	5.47	5.72	43.67	54.73	23.16	14.39	100.93	163.66	46.75	8.12	6.52	5.76	6.2	1.27	8.92	5.44	4.02	4.81	13.12	14.28	2.31	4.8	9.68	8.72	10.31	9.62	10.24	16.15	3.37	16.49	44.11	4.43	3.29	9.13	1.96	5.04	3.79	14.23	18.77	5.7	8.62	10.64	7.55	2.41	5.53	5.82	5.5	1.2	1.57	2.07	6.6	3.64	1.89	3.44	4.64	1.81	15.31	16.52	3.95	5.47	9.93	7.13	2.74	1	17.02	12.31	7.03	1.39	3.39	5.23	2.1	2.48	9.17	6.54	2.43	2.53	2.79	3.59	2.86	4.55	4.37	3.32	2.6	3.16	9.15	5.67	12.07	11.63	11.36	8.96
E-Cadherin (CDH1)	152.6	188.62	299.28	246.1	314.11	528.17	463.35	240.88	452.66	1017.86	1313.62	348.95	225.32	551.99	387	418.61	326.81	418.61	326.81	145.97	157.9	251.8	935.22	722.64	171.93	270.36	735.37	833.41	165.68	289.89	189.25	760.29	437.73	96.76	208.63	517.38	695.63	272.18	245.25	368.39	470.77	146.07	148.27	361.67	391.53	84.75	156.76	384.44	396.7	204.9	205.61	430.26	447.03	141.68	489.95	485.88	297.93	132.41	154.29	480.23	508.83	293.39	239.11	192.79	336.41	374.46	343.79	595.97	224.96	311.03	744.23	532.61	186.49	360.17	893.68	680.8	187.56	213.49	746.13	735.29	155.13	178.15	556.42	630.51	136.64	206.06	567.72	711.48	173.69	422.04	706.53	490.99	149.6	227.42	606.39	463.52	161.32	169.2	486.34	506.2	247.1	233.36	496.24	489.35	152.64	210.99	455.67	487.33	164.89	173.23	417.37	603.51	268.33	457.81	308.8	143.87	141.59	407.61	463.83	225.48	257.94	463.35	551.48	307.9	318.94	506.49	574.83	178.66	198.92	276.48	373.05	192.7	200.45	552.89	599.53	131.01	194.82	696.92	513.5	255.55	468.17	611.34	247.02	446.78	489.71	535.9	223.02	233.46	388.93	757.21	175.87	172.42	305.46	432.2	236.68	218.63	473.08	529.36	194.29	164.9	523.46	484.92	186.05	197.17	422.82	460.36	224.84	188.36	449.16	426.38	524.28	590.43	558.72	428.48
EGFR (Epidermal growth factor receptor) (PMID 22916088 22245996)	37.51	39.3	49.45	57.93	55.69	45.3	37.33	90.33	244.13	66.75	61.96	75.65	53.37	61.33	109.15	93.02	84.48	93.02	84.48	62.56	49.12	185.99	80.23	81.24	39.68	207.63	77.09	68.81	76.47	57.98	161.21	51.37	33.25	62.61	177.44	74.43	28.39	54.89	54.45	50.97	63.78	56.44	203.09	53.32	95.75	52.97	141.09	88.1	53.03	64.82	54.83	43.9	64.44	37.8	66.31	57.16	66.9	37.07	48.72	57.34	47.11	61.52	50.34	59.12	60.55	96.01	90.04	42.57	55.25	72.24	63.07	78.77	59.34	172.82	148.95	135.39	57.8	39.54	51.1	91.44	62.05	60.65	72.8	630.51	49.19	62.96	43.67	36.49	46.32	72.47	50.47	163.66	74.8	40.61	58.68	80.61	34.13	58.52	89.24	54.43	49.38	128.78	87.08	85.67	71.69	57.54	63.71	72.33	41.22	51.33	104.63	65.68	55.57	78.63	44.11	48.7	144.88	81.07	76.33	45.35	214.95	88.4	90.95	91.23	94.82	61.71	65.41	35.61	49.73	84.4	77.75	63.23	61.6	64.07	50.57	43.67	20.81	71.18	69.6	60.41	129.08	66.09	48.93	50.55	56.25	60.6	52.1	210.96	51.05	49.25	42.21	51.45	37.33	50.54	56.68	46.2	64.21	71.89	48.21	43.76	44.71	45.8	45.22	216.89	54.63	55.58	176.44	155.38	52.4	43.09	116.66	53.81	48.3	112.95
Eln	487.92	405.17	721.9	1075.64	1156.01	1550.21	894.93	1186.82	1627.55	3887.9	3469.93	1302.77	753.06	1701.96	2267.45	2539.92	1914.18	2539.92	1914.18	1291.45	982.48	703.9	3116.55	1996.87	591.83	1024.99	1839.9	2775.47	917.6	1250.69	413.55	1452.08	1036.15	694.43	776.45	2097.75	2867.68	1752.17	1448.54	1051.88	1023.55	919.6	1130.1	2670.81	3111.82	492.61	793.22	2026.31	1962.29	2111.76	1488.58	1479.57	1538.42	1342.41	2449.74	2383.68	2382.26	879.19	1153.08	2449.54	2360.39	2844.01	2672.2	1814.76	2610.52	2400.36	3061.35	2469	2466.62	3731.43	3853.62	3218.14	3709.55	2388.78	6404.69	8128.96	5493.5	3771.69	9505.46	10069.66	3474.88	3142.22	9932.39	1891.53	3612.81	4836.58	8777.82	8866.08	4029.53	9220.95	8276.51	4091.62	2935.98	4191.08	12721.07	10390.41	3394	4334.25	10025.67	10831.66	5805.84	4133.35	8867.9	9545.55	5987.61	6775.67	7816.5	8084.48	3339.12	4090.09	6176.44	10127.79	6262.43	7143.67	4587.82	5174.99	4524.23	9705.05	8053.5	2933.7	3173.66	4054.32	5826.68	5165.95	4042.83	3413.47	6788.57	2173.54	1381.35	6223.17	5581.63	1357.31	1818.64	3256.34	4149.07	1426.53	1700.41	2018.42	1209.5	1509.74	2077.24	1759.65	1555.55	1892.31	1581.63	1577.99	1410.33	1312.65	1943.82	4438.6	1062.25	1019.21	1618.93	2002.41	1388.62	1580.72	392.48	417.17	649.1	736.97	883.92	815.39	575.88	521.75	565.94	642.02	473.63	440.86	343.53	347	1654.64	445	458.34	1538.23
Epcam	413.47	430.44	460.68	520.12	514.52	757.07	556.44	80.29	116.98	467.22	495.7	107.67	106.73	245.33	312.58	116.11	91.15	116.11	91.15	78.38	105.27	80.12	262.01	290.76	56.21	85.31	265.38	290.54	82.84	82.83	73.6	250	249.34	108.15	71.34	234.68	283.93	76.81	75.21	201.57	236.9	79.68	62.3	192.43	226.83	31.78	90.92	160.18	254.57	54.36	68.54	241.47	245.66	54.62	228.4	215.31	173.84	51.2	36.54	206.07	193.17	66.25	54.53	51.41	168.2	184.83	208.73	127.71	78.93	76.98	182.91	202.54	54.25	43.61	198.6	170.2	67.24	59.3	306.63	227.68	49.64	79.6	176.81	1261.02	71.05	51.51	109.18	237.16	104.21	158.27	50.47	163.66	18.7	97.47	182.57	190.02	62.05	49.61	191.86	119.75	54.87	59.17	168.2	179.13	64.76	62.34	127.43	175.95	61.84	76.99	160.35	240.11	73.54	172.47	88.23	39.84	46.1	171.27	185.93	65.5	73.34	164.61	167.47	85.53	43.1	136.2	208.8	54.02	38.68	51.42	95.82	48.78	61.6	153.98	172.97	50.95	51.07	227.33	137.65	77.93	210.02	247.84	59.19	151.66	191.91	174.67	49.36	53.44	236.6	166.22	45.73	51.45	142.55	155.1	76.1	58.58	157.91	224.38	57.46	60.39	207.71	203.85	59.53	75.08	195.57	180	50.49	48.33	174.68	158.76	205.15	189.78	206.44	233.07
EPHA3	195.1	244.06	220.17	214.3	235.12	231.39	179.66	85.31	66.12	266.98	210.67	103.1	94.87	153.33	148.85	120.59	66.7	120.59	66.7	90.6	108.77	77.26	174.26	149.66	109.11	74.02	192.74	163.11	76.47	41.41	66.59	147.26	116.36	119.53	66.32	154.26	141.96	47.18	54	132.06	94.15	29.88	41.12	90.42	134.48	63.56	50.16	104.12	116.68	31.36	63.05	193.18	149.01	37.55	62.63	102.89	89.78	42.37	48.72	134.39	146.05	47.32	41.95	38.56	40.37	98.41	61.39	85.14	47.36	38.05	100.91	78.77	22.04	16.15	148.95	56.09	31.85	35.58	40.88	45.72	24.82	3.79	67.6	1891.53	10.93	11.45	174.68	145.94	81.05	59.15	151.4	163.66	9.35	16.24	26.08	46.06	18.61	20.35	40.16	48.99	19.02	20.55	93.04	85.67	20.81	23.98	73.39	66.17	61.84	28.87	56.86	51.68	20.77	43.12	88.23	19.92	26.34	50.24	58.71	11.34	24.02	53.85	40.42	39.91	17.24	72.36	37.74	19.92	38.68	50.45	42.41	12.65	23.49	51.67	54.24	25.47	15.13	80.37	47.95	19.94	60.16	132.18	13.42	36.89	29.78	39.21	15.54	21.56	64.82	80.03	14.07	23.64	27.15	27.88	12.07	13.2	49.8	62.09	19.48	18.44	43.78	44	26.91	14.41	32.78	17.42	9.89	17.16	29.11	31.75	54.98	34.9	38.83	59.16
EPHA7	154.57	163.64	208.04	198.4	218.77	226.15	202.95	15.05	45.77	116.8	49.57	26.54	94.87	92	24.81	40.31	31.12	40.31	31.12	23.01	45.62	28.61	90.26	81.24	36.37	37.64	93.4	76.46	38.23	24.85	45.56	65.07	38.79	45.54	29.39	85.23	141.96	37.88	39.95	57.92	106.3	49.8	34.89	90.42	114.05	26.48	37.62	160.18	106.07	41.82	13.71	114.15	144.98	31.7	62.63	68.6	92.07	28.25	48.72	91.39	75.38	37.86	46.14	46.27	74.01	69.61	90.04	42.57	59.2	41.45	100.91	101.27	23.74	32.3	248.24	69.63	33.03	31.63	40.88	60.65	55.85	37.9	88.4	1261.02	16.4	51.51	21.84	36.49	34.74	62.35	100.93	163.66	28.05	56.86	45.64	51.82	27.92	13.99	35.69	81.65	19.94	24.7	62.03	55.81	23.13	19.18	53.23	68.23	51.53	19.25	51.18	51.68	20.21	67.21	132.34	26.56	39.51	65.08	68.5	30.23	36.67	66.05	44.75	34.21	34.48	63.84	40.25	23.54	33.15	33.95	29.06	22.88	28.71	38.24	46.91	40.03	34.05	41.33	38.67	21.75	60.16	41.31	22.89	43.72	56.25	68.92	22.85	25.32	77.79	86.19	56.28	29.2	61.09	48.8	22.57	18.15	46.52	33.77	18.99	24.95	55.89	56.57	21.75	24.27	37.15	34.01	23.94	13.1	39.93	35.15	30.84	40.72	36.93	34.06
ERB	3.94	4.77	3.73	5.95	4.47	6.31	5.65	15.05	20.34	50.06	99.14	18.61	71.16	15.33	34.73	14.82	11.12	14.82	11.12	15.1	21.05	37.2	27.58	17.1	23.14	11.29	17.79	17.84	70.09	24.85	10.51	13.7	33.25	28.46	7.53	10.8	28.39	9.29	5.36	9.27	15.19	43.16	7.48	11.59	8.51	10.59	12.54	24.03	16.97	8.36	35.64	21.95	24.16	10	18.42	9.53	14.3	10.59	16.24	7.17	14.13	37.86	25.17	41.13	6.73	7.2	4.09	42.57	27.63	12.88	12.61	18.75	13.56	16.15	49.65	23.21	11.8	7.91	10.22	17.73	12.41	7.58	20.8	630.51	21.86	45.79	21.84	18.24	23.16	29.84	100.93	163.66	9.35	24.37	26.08	31.67	3.1	10.18	22.31	27.22	10.61	12.93	23.86	27.26	25.44	14.39	21.78	23.6	51.53	32.08	15.92	32.3	11.79	27.9	88.23	4.43	19.76	27.4	37.19	20.15	22.76	28.45	25.99	22.81	86.2	21.28	45.28	21.43	49.73	49.47	42.41	21.68	22.97	34.1	47.64	36.39	3.78	31	51.04	20.54	37.19	24.78	18.15	36.89	16.54	45.15	18.28	32.82	29.98	18.47	38.69	29.2	30.55	24.4	14.17	18.98	32.11	29.41	19.48	15.55	38.19	36.82	23.47	18.2	28.41	20.74	17.18	21.23	30.78	23.81	18.77	45.08	38.83	26.89
EXT1	184.45	219.08	258.05	250.38	293.13	311.25	275.93	140.51	122.07	200.24	384.17	118.96	94.87	337.32	292.73	147.12	117.83	147.12	117.83	131.59	129.83	77.26	309.65	359.18	155.4	151.18	400.3	412.88	127.44	173.94	108.64	421.24	382.32	250.45	188.2	486.17	354.91	145.39	166.92	384.61	394.84	175.95	181.91	477.59	568.15	158.91	153.63	360.41	354.27	169.36	216.57	566.36	491.33	181.67	327.86	453.49	333.38	139.47	154.29	440.81	400.46	222.41	192.97	172.22	363.32	484.87	442.01	723.67	169.7	194.08	466.72	420.08	125.46	122.75	645.43	468.05	213.51	138.37	378.17	376.98	223.39	162.99	431.62	630.51	109.31	108.75	371.2	346.62	150.53	407.65	201.87	163.66	140.25	113.71	365.14	302.3	155.12	155.2	370.33	402.79	162.42	145.02	294.64	337.48	138.76	172.63	279.85	306.76	133.98	96.24	325.26	296.64	111.71	334.8	132.34	166.01	138.3	366.51	362.07	107.07	118.85	275.37	290.18	96.93	129.3	257.5	296.85	113.78	88.41	247.37	295.3	90.33	107.01	262.49	257.99	105.53	81.33	188.29	238.19	103.91	251.59	140.44	82.87	267.79	248.16	207.94	104.2	107.82	233.36	270.87	70.35	73.69	247.76	221.33	108.11	101.48	218.19	165.56	80.35	87.87	199.32	252.34	88.73	86.45	171.53	178.34	100.97	72.27	188.82	161.02	213.2	208.68	225.38	220.52
F13A1	92.74	97.68	94.79	88.9	105.99	86.34	72.89	37.64	66.12	150.18	111.53	60.09	35.58	184	148.85	36.87	20.01	36.87	20.01	35.95	56.14	42.92	58.92	72.69	42.98	25.72	62.27	81.56	70.09	49.7	24.53	68.49	49.87	11.38	17.21	42.62	70.98	18.06	19.86	32.44	36.45	26.56	13.71	20.87	32.77	21.19	40.76	32.04	38.19	8.36	21.93	39.51	52.35	9.27	40.52	36.2	47.46	14.12	12.18	59.13	47.11	42.59	20.97	17.99	40.37	43.21	12.28	85.14	23.68	11.1	31.54	52.51	11.87	12.92	198.6	19.34	12.98	3.95	51.1	46.66	18.62	22.74	31.2	630.51	16.4	22.9	65.51	72.97	46.32	24.51	100.93	163.66	9.35	24.37	45.64	34.55	12.41	8.91	58	16.33	12.99	15.75	38.17	49.32	4.63	9.59	36.29	38.99	20.61	12.83	21.61	40.92	15.72	36.78	44.11	13.28	9.88	23.98	29.36	10.08	20.23	41.66	37.54	28.51	17.24	29.79	21.38	10.56	27.63	24.25	18.85	9.63	10.96	26.87	47.64	36.39	9.46	42.48	27.84	19.33	33.91	66.09	15	34.16	36.4	51.09	27.42	21.56	37.27	61.56	21.1	26.42	54.3	47.05	21.52	19.8	26.86	38.12	14.61	19.17	49.37	45.8	12.59	11.38	39.33	23.23	31.23	38.85	49.91	47.63	14.75	31.99	36.93	25.1
FGF18 	36.82	41.12	51.5	51.02	52.15	70.71	60.18	35.13	71.21	150.18	61.96	27.15	71.16	15.33	19.85	67.53	35.57	67.53	35.57	47.46	38.6	37.2	121.6	94.07	46.29	57.71	140.85	127.43	38.23	49.7	38.55	99.32	72.03	74	69.54	103.84	99.38	71.9	78.11	115.85	136.68	66.4	110.89	159.97	220.45	58.27	65.84	96.11	108.19	69	46.6	105.37	116.79	79.01	154.72	200.07	127.52	58.26	69.02	139.77	122.5	89.91	104.87	77.11	148.02	141.62	151.43	42.57	98.66	147.74	208.13	202.54	135.63	153.44	148.95	357.81	168.69	114.65	194.2	287.86	111.69	106.13	296.41	630.51	87.45	45.79	152.85	164.19	196.84	257.38	100.93	163.66	65.45	129.96	221.69	192.89	96.17	91.6	169.55	163.29	128.76	117.51	202.79	211.58	90.2	100.7	134.68	133.89	51.53	112.28	161.49	104.98	55.57	88.77	88.23	66.4	108.66	149.57	109.6	54.16	63.22	87.39	88.06	39.91	43.1	65.97	71.7	26.26	60.78	50.45	69.9	21.68	21.92	40.3	53.5	25.47	30.26	33.3	26.29	35.04	59.07	41.31	16.57	38.26	43.01	33.27	25.59	36.57	31.6	49.25	21.1	29.2	74.67	50.54	27.29	33.83	49.8	35.94	27.76	24.23	48.43	49.39	20.61	12.89	28.41	27.37	18.22	14.45	35.77	34.02	33.52	39.99	50.19	32.27
FGFR2	417.06	445.59	626.56	591.88	662.01	790.03	666.92	318.66	244.13	800.94	879.88	290.69	160.1	643.98	451.5	269.77	224.54	269.77	224.54	202.78	228.08	185.99	603	448.98	234.75	207.63	504.08	550.51	178.42	198.78	161.21	486.31	321.37	170.76	177.44	490.37	354.91	178.36	184.33	396.19	388.77	179.27	203.09	389.49	470.69	95.34	141.09	400.46	347.91	227.9	191.9	443.43	507.44	138.75	372.07	533.52	400.86	125.35	113.68	361.97	409.89	194.02	197.16	146.52	356.59	422.46	433.83	425.69	228.9	197.19	391.04	480.1	218.71	172.82	595.79	512.53	152.17	162.1	316.85	374.18	148.92	170.57	462.82	630.51	120.24	177.44	240.19	346.62	81.05	398.59	252.33	163.66	121.55	178.69	423.82	452.01	114.79	139.94	455.1	511.65	132.6	128.78	370.99	372.53	178.08	163.04	364.53	347.28	72.14	163.6	369.61	452.77	193.67	423.57	441.14	126.17	144.88	444.15	364.02	244.37	214.95	399.33	397.01	165.36	258.6	389.44	462.89	222.42	182.34	203.72	252.1	201.73	225.5	399.94	485.19	174.68	208.06	383.48	386.67	266.42	539.27	446.11	223.35	517.82	512.87	567.98	202.91	210.96	445.64	400.15	182.9	211.35	451.4	376.43	201	189.75	392.48	392.12	168	188.04	461.98	491.21	205.51	216.89	371.47	364.97	176.44	155.38	393.43	398.03	319.13	498.81	500.95	387.25
FOXD1	1.39	2.95	1.87	2.49	1	1.6	1.76	7.53	15.26	50.06	37.18	7.02	17.79	15.33	9.92	5.51	4.45	5.51	4.45	10.07	14.04	17.17	7.52	17.1	6.61	6.27	5.93	12.74	19.12	33.13	3.5	6.85	5.54	28.46	4.3	1.8	14.2	3.86	2.45	2.32	6.07	36.52	6.23	4.64	2.98	37.08	6.27	32.04	8.49	10.45	2.74	8.78	16.11	3.9	3.68	3.81	5.72	3.53	4.06	7.17	9.42	18.93	25.17	10.28	13.46	4.8	4.09	42.57	23.68	4.29	6.31	7.5	3.39	8.08	49.65	1.93	9.44	23.72	10.22	5.13	24.82	18.95	5.2	630.51	5.47	17.17	21.84	18.24	34.74	3.2	50.47	163.66	28.05	8.12	6.52	5.76	9.31	6.36	4.46	5.44	3.29	4.64	1.19	6.49	2.31	9.59	2.42	4.1	10.31	12.83	5.69	3.77	9.54	3.8	88.23	17.71	13.17	3.43	5.87	8.82	8.85	5.08	1.44	5.7	43.1	2.13	1.26	6.64	11.05	1	8.64	8.43	5.22	2.07	1	21.83	3.78	6.89	9.28	9.06	4.38	16.52	4.74	5.47	9.93	1.19	7.31	9.38	1.62	12.31	31.66	6.95	10.18	3.49	7.35	9.08	6.55	3.27	6.33	6.51	5.59	4.49	6.87	2.28	7.65	2.49	8.33	6.78	1.66	1.13	14.75	7.27	7.58	7.17
FOXF1	247.32	173.04	288.09	300.99	336.17	604.02	395.05	368.84	208.53	584.02	656.81	190.03	112.66	367.99	481.27	213.61	217.87	213.61	217.87	212.13	196.5	266.11	663.18	401.94	271.12	428.44	788.74	927.7	248.52	389.29	325.93	684.94	592.88	284.6	357.04	779.68	880.18	334.97	297.7	613.98	595.3	640.73	650.4	1214.85	1609.96	391.97	304.12	640.73	521.86	894.89	814.2	733.2	777.27	406.02	1392.49	1472.89	906.93	478.44	438.5	576.99	720.84	530	515.98	506.38	1271.62	1039.36	1190.98	851.38	670.92	810.06	1078.51	1211.49	901.96	898.01	2134.9	2481.43	843.43	846.06	1287.84	1506.51	521.23	477.59	1617.26	630.51	256.89	400.66	1135.44	893.9	393.69	1788.34	1614.93	1145.65	598.42	633.53	1649.63	1497.09	409.51	403.27	1276.08	1671.01	569.92	580.08	1633.06	1801.64	497.23	441.16	1397.65	1429.66	680.19	580.63	1289.65	1342.69	570.89	1459.68	1411.64	336.44	437.94	1379.26	843.51	683.98	856	1011.04	1089.98	895.2	974.07	1004.46	1743.37	612.04	541.49	1345.52	1321.78	664.81	688.52	1728.93	2200.96	509.48	461.51	1155.02	1330.14	798.67	1033.7	834.39	530.35	1664.14	1442.66	1231.02	634.33	687.26	1373.4	3490.55	573.33	599.29	875.65	1054.36	621.89	678.98	1112.58	786.41	455.3	476.25	1456.74	1347.01	625.11	781.1	685.03	799.62	596.46	701.49	1271.8	1114.7	918.5	1460.79	1343.76	826.49
